genero;raca;idade;estado;mesespreso;sentencamaxima;multiploscrimes;crime;violou
1;0;33.6;VA;5.2;18;0;outro;0
1;0;47.1;VA;4.4;14;1;outro;0
1;0;27.6;VA;3;13;1;direcao;0
1;1;21.2;VA;3.7;14;1;subtracao;0
1;1;28.4;VA;4.2;12;1;subtracao;0
1;1;38.6;VA;3.5;14;1;drogas;0
1;0;27.6;VA;3;12;0;subtracao;0
1;1;19.2;VA;3;12;1;outro;0
1;1;36.5;VA;5.5;18;0;outro;0
0;0;35.6;VA;3.6;12;1;outro;0
1;0;37.4;VA;5.4;17;1;outro;0
1;0;38.5;VA;4.9;10;1;subtracao;0
1;0;19.2;VA;4.4;15;1;outro;0
1;1;36.3;VA;5.6;16;1;outro;0
1;0;28.7;VA;4.2;14;1;direcao;0
1;0;28.2;VA;3;12;1;outro;0
1;1;28.8;VA;3;12;1;direcao;0
1;1;38;VA;3.6;13;1;outro;0
1;0;41.1;VA;3;12;1;subtracao;0
1;0;22.8;VA;3.1;12;1;outro;0
1;0;29.9;VA;4.2;16;1;direcao;1
1;0;41.1;VA;3;14;1;outro;1
1;0;46.4;VA;4.3;12;1;outro;0
1;1;33.9;VA;5.2;14;1;outro;0
1;0;33;VA;5.3;12;0;drogas;0
1;0;43.8;VA;4.4;14;1;outro;0
1;1;38.9;VA;5.6;12;1;outro;0
1;0;44.2;VA;3;12;1;outro;0
1;0;38.3;VA;5;12;1;outro;0
1;0;40.6;VA;4.9;16;0;drogas;0
1;0;34;VA;3;12;0;outro;0
1;1;22.2;VA;4.1;15;1;outro;0
1;1;33;VA;4.5;14;1;subtracao;0
1;1;19.3;VA;5.2;13;1;outro;0
0;1;30;VA;4;13;1;direcao;0
1;0;47;VA;3;15;1;subtracao;1
0;1;21.9;VA;4.3;14;1;outro;0
1;1;23;VA;5.1;13;1;subtracao;0
1;0;43.7;VA;5.6;18;1;direcao;0
1;0;46.8;VA;3.7;15;0;outro;0
0;0;28.2;VA;3.8;15;1;outro;0
1;0;20.7;VA;3.1;12;1;outro;0
1;0;46.7;VA;4.2;12;1;outro;0
0;0;32.8;VA;3.2;14;1;subtracao;0
1;0;23.3;VA;3.3;13;1;subtracao;0
1;1;27.7;VA;5.2;12;0;outro;0
1;1;18.4;VA;3;12;1;outro;0
1;0;48.5;VA;4.7;16;1;outro;0
1;1;26.9;VA;5.9;17;1;outro;0
1;1;30.1;VA;3.2;13;1;outro;0
1;1;26.9;VA;3;13;1;direcao;0
0;0;47.3;VA;4;15;1;outro;0
1;0;19.1;VA;5.3;14;1;outro;0
1;0;24.8;VA;3.3;13;0;outro;0
1;0;39.6;VA;3;12;0;drogas;0
1;1;25.6;VA;2.2;13;1;outro;0
1;0;25.6;VA;5.4;13;1;subtracao;0
1;0;33.7;VA;3.2;15;1;outro;0
0;1;44.1;VA;3.2;15;1;outro;0
1;1;54.1;VA;4.2;14;1;direcao;0
1;1;38.7;VA;6;17;1;outro;0
0;0;25.1;VA;4.2;13;1;outro;0
1;0;24.4;VA;4.7;15;1;outro;0
1;0;45.6;VA;3.8;14;0;subtracao;0
1;1;20.8;VA;3.6;13;1;outro;0
0;0;34.2;VA;3.2;12;1;outro;0
1;1;33.6;VA;4.6;15;1;direcao;0
0;0;46.9;VA;2.3;14;1;outro;0
1;1;35.4;VA;3.5;15;0;subtracao;0
1;0;44.1;VA;4;14;1;subtracao;1
0;0;27.1;VA;3.8;15;1;outro;0
1;1;34;VA;4.8;12;0;outro;0
1;1;48.2;VA;3.2;14;1;direcao;0
1;0;24.9;VA;4.1;14;1;outro;0
1;0;36.5;VA;2.9;12;0;outro;0
1;0;23.3;VA;3.1;14;1;outro;0
1;1;47.2;VA;3;12;0;outro;0
1;0;44.5;VA;3.1;14;1;direcao;0
1;0;25.9;VA;3.1;14;0;subtracao;0
1;1;22.3;VA;3;12;0;drogas;0
1;1;19.9;VA;3;13;1;outro;0
1;1;39.2;VA;4.5;17;1;direcao;1
1;0;21.5;VA;3.2;14;1;outro;0
1;1;22.1;VA;3.8;14;1;outro;0
1;1;48.2;VA;4.6;13;1;outro;0
1;0;23.8;VA;4.6;14;1;direcao;0
1;0;36.3;VA;4.1;16;1;subtracao;0
1;1;56.5;VA;5.8;18;0;outro;0
1;0;36.4;VA;2.9;12;1;subtracao;0
1;0;25.4;VA;3.4;14;1;outro;0
1;0;28.2;VA;6;18;1;direcao;0
1;1;39;VA;3.9;14;1;subtracao;0
0;0;42;VA;3.3;13;1;outro;0
1;1;47.1;VA;4.2;16;1;outro;0
0;1;47.5;outro;5.2;16;0;drogas;0
1;1;45.4;outro;5.7;12;0;drogas;0
1;1;38.4;outro;1.8;18;0;outro;0
1;1;47.8;outro;6;12;0;direcao;0
