communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
Greendalevillage,WI,79,31125,,15128,2.71,0.15,97.68,1.74,1.18,14.18,23.6,12.1,10.77,15128,100,44735,81.76,0.92,65.17,28.11,2.13,19.02,52077,19096,19118,6536,17182,18579,25227,9008,351,2.32,3.31,10.83,29.54,2.38,69.18,22.59,25.27,8.99,37.39,5.07,26.14,8.51,6.88,3.13,83.29,82.14,93.63,76.39,65.4,76.47,79,0.64,450,4.22,6.22,6.22,14.44,0.13,0.19,0.19,0.43,94.66,0.61,3.19,2.49,2.71,2.93,2.16,77.23,0.72,27.52,,170,97.04,71.46,,58.24,1966,,,78200,93800,121000,42800,363,466,551,188,515,27.1,17.4,11.7,,,2.97,78.64,65.23,91.6,96.05,,,,,,,,,,,,,,,,,,5.8,2608.5,3.03,,,,,,,74.62
UnionCitycity,NJ,17,74630,,58012,2.81,5.11,74.68,2.09,75.62,13.67,29.54,14.16,9.09,58012,100,25655,78.71,0.44,24.77,20.77,13.18,9.8,27288,11089,11488,10870,15755,13355,9197,9996,10513,18.18,28.42,49.46,10.71,10.87,60.52,29.24,13.43,32.79,14.66,11.58,37.55,17.32,14.53,3.29,59.81,56.12,66.57,61.43,53.42,60.06,3156,8.03,31959,14.61,24.34,33.53,47.62,8.05,13.41,18.47,26.24,17.73,30.91,8.4,6.05,2.8,2.84,2.79,22.08,16.96,78.25,,1980,91.24,21.76,2.37,36.21,1940,11.73,1.74,108200,150400,189700,81500,339,451,579,240,505,27.5,28.5,13,189,25,55.09,25.9,54.33,79.63,81.87,161,284.45,142,250.88,62373,110199.6,387.4,284.5,98.28,76.4,1.86,21.74,,22.36,,,45,1.3,44229.9,27.8,50,12945918,88.2,,4.97,228726.5,871.02
FosterCitycity,CA,,,,28176,2.51,3.23,73.48,21.98,5.77,11.65,26.23,11.54,6.49,28176,100,60462,89.78,0.98,59.72,11.31,2.07,11.54,66991,28399,30694,24563,28303,21756,20609,22960,827,2.95,1.67,4.96,46.69,3.4,76.17,13.11,19.41,4.32,42.67,10,32.2,13.35,11.7,3.01,82.87,82.17,95.71,83.86,68.43,72.33,128,0.84,6342,18.83,27.59,35.3,42.83,4.24,6.21,7.95,9.64,74.62,3.38,3.69,2.48,2.5,2.75,2.14,66,3.02,48.93,,537,95.43,60.12,0.19,10.24,1975,,0.34,329500,411700,494300,164800,784,947,1001,217,969,24.4,27.1,11.7,,,22.51,41.41,42.19,67.9,81.19,,,,,,,,,,,,,,,,,,3.9,7232,3.93,,,,,,,185.69
Flintcity,MI,49,29000,,140761,2.61,47.94,49.58,0.49,2.85,15.83,29.26,14.58,9.58,140761,100,20176,65.55,0.22,27.04,27.15,23.81,19.86,25083,10415,12350,8464,8300,14339,8011,8330,42218,30.58,8.86,30.71,10.31,18.29,45.96,29.48,24.76,25.91,18.45,15.31,39.75,20.1,17.92,3.17,42.57,39.1,47.34,47.15,50.33,57.44,14962,12.65,2286,2.76,5.21,7.52,13.17,0.04,0.08,0.12,0.21,95.01,0.64,6.9,4.58,2.56,2.59,2.52,58.81,4.38,49.86,,4830,91.78,58.09,20.85,45.28,1953,10.3,0.5,25600,33900,43900,18300,236,300,351,115,375,35.1,16.7,14.2,83,11,1.62,68.81,55.55,91.37,94.85,311,223.85,286,205.85,133520,96103.2,429.3,223.8,80.08,69.45,27.33,2.89,0.32,30.55,45,,102.9,35.1,4015.8,2.43,92,16031000,91.96,,14.47,115385.7,
NewBrunswickcity,NJ,23,51210,,41711,3.28,29.58,57.37,3.96,19.33,29.2,49.87,35.94,8.48,41711,100,28289,78.65,0.72,33.31,25,10.16,11.84,32966,11252,12735,9591,12237,9675,7729,7647,7561,21.96,15.92,34,23.41,8.85,57.84,15.94,32.03,15.01,23.85,7.62,61.76,9.73,8.74,3.25,50.14,42.94,59.12,44.96,67.51,73.06,2757,12.96,6989,24.7,37.73,50.91,63.13,4.14,6.32,8.53,10.58,72.41,7.03,10.59,6.86,2.7,2.71,2.69,32.54,10.53,65.85,,845,93.77,32.33,7.46,31.01,1949,8.98,1.69,95600,126700,157000,61400,407,569,723,316,640,29.9,28,18.9,105,17,16.76,50.29,38.48,60.05,83.44,124,298.94,114,274.83,50000,120540,403.2,298.9,74.3,83.06,10.48,4.84,1.61,16.94,,11,77.4,5.4,7709.4,12.35,49,6741975,91.94,,4.84,162535.59,1501.93
Douglascity,AZ,,,,12822,3.2,1.07,71.46,0.47,83.47,18.62,28,14.12,12.89,,,14994,59.71,1.52,23.39,37.41,19.94,21.82,17147,6619,7375,1443,1657,16243,4710,4946,5512,43.13,36.43,51.9,9.47,19.22,40.11,12.71,22.95,12.13,20.53,7.89,31.2,12.84,10.6,3.66,63.83,56.55,69.14,66.1,43.03,52.44,666,,4425,16.07,25.27,31.14,37.38,5.55,8.72,10.75,12.9,19.63,18.63,14.54,11.49,3.17,3.2,3.12,63.79,11.92,44.25,,316,92.7,63.15,4.11,43.99,1952,13.44,1.03,31300,45700,63100,31800,115,207,288,173,273,29.6,22.9,13.6,,,34.29,46.66,55.97,78.65,84.96,,,,,,,,,,,,,,,,,,4.9,2616.7,0.17,,,,,,,161.69
Selmacity,AL,,,,23755,2.72,58.44,41,0.43,0.29,16.96,27.15,13.5,13.84,,,15917,64.31,0.73,23.41,36.45,19.72,14.93,20385,8844,14108,5143,913,16380,,5584,8233,35.71,16.59,39.46,15.59,10.89,46.94,23.33,28.76,21.95,25.57,10.73,34.3,15.26,13.35,3.3,50.33,42.57,56.43,54.01,59.79,61.43,3044,13.18,153,48.37,57.52,57.52,73.86,0.31,0.37,0.37,0.48,97.1,0.51,8.5,5.88,2.64,2.63,2.65,53.23,5.78,44.17,,825,91.37,53.35,2.91,49.21,1963,11.5,1.92,31400,45500,66000,34600,99,161,236,137,264,29.1,17.8,13.7,28,,0.64,86.06,58.4,87.29,94.14,,,,,,,,,,,,,,,,,,14.4,1647.8,0.29,,,,,,,3268.26
Nortoncity,OH,153,57260,,11475,2.8,1.04,98.41,0.38,0.45,13.65,23.21,11.2,12.88,11475,100,34198,75.95,0.34,48.68,30.6,4.19,20.1,37299,13836,13746,19793,22310,20233,,,617,5.4,6.47,22.93,14.11,5.33,60.94,25.2,19.33,15.91,24.93,6.89,22.94,7.93,7.42,3.13,85.26,81.48,89.18,88.88,59.93,65.29,46,0.52,183,14.21,14.21,14.21,14.21,0.23,0.23,0.23,0.23,95.53,0.9,4.25,3.51,2.8,2.82,2.58,90.67,1.42,22.63,,113,97.32,89.9,6.19,58.41,1957,1.12,0.33,52800,68000,85800,33000,242,325,388,146,441,23.4,16.6,12.9,,,1.59,78.51,63.38,88.95,95.13,,,,,,,,,,,,,,,,,,20.8,552.6,0.27,,,,,,,168.99
Missioncity,TX,,,,28653,3.45,0.16,75.37,0.15,80.08,18.57,29.66,14.96,13.32,28653,100,17489,66.89,1.91,27.75,37.11,16.45,15.65,19304,6887,7587,11243,34652,480,4549,5133,10670,37.33,34.49,47.39,12.19,12.14,44.13,9.34,24.56,15.48,19.89,4.96,28.75,9.58,7.43,3.8,74.52,68.65,80.79,77.7,48.72,54.71,496,1.85,6280,12.52,17.8,24.55,35.08,2.74,3.9,5.38,7.69,25.82,18.2,16.61,14.03,3.42,3.37,3.54,70.55,21.68,59.38,,2343,78.02,71.55,2.6,24.29,1977,11.46,2.39,26200,40100,59800,33600,99,182,271,172,247,27.4,21.6,12.7,,,21.92,58.8,61.69,86.23,91.26,,,,,,,,,,,,,,,,,,14.4,1990.9,0.42,,,,,,,178.75
Middletownship,NJ,,45810,,14771,2.76,13.09,84.93,1.09,1.5,11.56,22.94,10.34,15.89,,,30524,75.38,1.04,40.87,33.83,5.91,19.68,34292,13547,14339,8240,18105,17324,5722,5110,1120,7.99,11.19,30.12,11.83,7.94,56.19,,27.17,13.8,18.46,9.47,25.18,10.83,10.19,3.11,76.66,71.83,84.24,76.11,66.45,74.25,545,4.4,439,9.11,32.8,38.04,43.96,0.27,0.97,1.13,1.31,94.25,0.48,5.57,4.04,2.63,2.62,2.65,81.88,2.73,46.93,,1624,76.7,82.01,3.2,58.99,1968,3.06,0.69,70100,93800,133300,63200,370,470,560,190,546,25.3,24,13.5,27,,2.97,55.54,56.46,83.91,90.08,,,,,,,,,,,,,,,,,,73.8,200,1.23,,,,,,,231.48
MountLaureltownship,NJ,,49020,,30270,2.56,5.97,90.82,2.63,1.65,10.94,25.55,10.35,9.28,28209,93.19,50843,88.27,0.54,57.24,17.44,1.47,13.62,57347,23248,23110,21232,25762,34192,8459,16332,595,1.99,2.69,10.1,37.11,2.55,72.68,14.33,24.19,5.97,40.23,7.53,26.22,10.71,9.21,3.03,84.86,83.56,96.07,80,57.23,69.33,112,0.56,1439,9.1,10.08,18.14,24.32,0.43,0.48,0.86,1.16,93.1,0.44,3.31,2.37,2.53,2.62,2.12,84.8,0.64,46.67,,769,93.9,81.9,0.91,21.07,1983,0.3,0.19,115600,149000,190400,74800,584,654,722,138,758,24.4,22.5,13.5,,,4.75,39.49,45.29,68.41,82.68,,,,,,,,,,,,,,,,,,22.6,1339.6,3.5,,,,,,,103.28
Greeleycity,CO,,,,60536,2.67,0.67,89.1,,20.36,19.66,34.21,21.15,9.64,60359,99.71,23462,78.96,1.67,39.17,22.71,7.57,11.84,30705,11461,12074,7642,5856,7764,6256,6306,11044,19.46,11.86,23.42,25.08,5.67,62.52,14.58,27.47,14.39,25.88,9.55,35.98,12.5,11.09,3.09,72.39,68.92,74.4,73.49,62.25,71.54,1129,2.67,2852,20.02,34.29,43.48,53.33,0.94,1.62,2.05,2.51,85.45,3.06,,3.36,2.5,2.69,2.29,57.84,3.76,47.95,,1344,94.4,53.86,1.79,29.91,1970,5.96,0.24,56200,70400,91500,35300,237,314,396,159,354,27.4,21.8,12.4,107,,4.71,50.46,38.95,69.03,84.29,,,,,,,,,,,,,,,,,,29.4,2057.1,0.67,,,,,,,203.69
CostaMesacity,CA,,,,96357,2.57,1.33,84.31,6.56,20.05,12.14,33.06,15.62,7.44,96357,100,40313,86.31,0.71,40.97,15.87,4.31,10.28,45266,18750,20021,17796,12403,14690,8317,8682,8614,9.17,7.4,16.52,27.26,4.17,74.47,19.19,19.72,9.72,30.69,12.48,42.3,17.63,15,3.08,71.03,67.31,84.89,70.11,65.53,70.72,1706,3.12,20787,21.97,35.55,46.07,58.33,4.74,7.67,9.94,12.58,73.97,8.08,8.6,5.1,2.51,2.6,2.45,41.65,9.87,62.61,,2144,94.59,40.17,0.7,6.86,1968,1.62,0.5,211300,257000,313900,102600,651,759,921,270,810,28.6,24.3,11.3,225,26,21.57,42.58,38.03,73.97,83.94,141,142.54,129,130.41,64391,65092.7,456.7,142.5,84.46,76.51,1.81,3.61,3.01,7.23,,,15.7,16.1,5980.4,3.03,52,10448205,91.49,,6.38,105620.6,448.84
LosAlamitoscity,CA,,,,11676,2.84,,84.87,7.18,12.5,13.9,30.28,14.04,8.7,11676,100,45171,85.19,0.9,48.9,18.88,2.3,15.78,47353,19361,19841,11200,21284,20012,14579,13766,495,4.38,5.09,14.1,29.3,4.24,68.04,16.72,24.11,9.11,35.41,10.67,33.88,15.95,13.42,3.14,72.58,72.9,89.54,81.26,57.82,68.55,159,2.07,1422,8.58,16.88,30.03,34.53,1.04,2.06,3.66,4.21,82.39,1.42,5.56,3.99,2.74,2.82,2.68,44.41,5.81,52.98,,166,96.12,43.23,3.01,12.65,1967,0.8,0.37,237300,296400,371700,134400,670,780,920,250,829,26.4,20.3,11.4,23,,12.18,44.84,44.21,61.48,83,,,,,,,,,,,,,,,,,,4.2,2798.7,0.15,,,,,,,356.17
SouthOrangeVillagetownship,NJ,13,69274,,16390,3.17,18.69,76.63,3.42,3.27,22.12,33.08,22.43,11.56,16390,100,64338,85.12,0.45,61.11,27.67,2.1,14.6,78338,30465,32613,23417,6689,28922,8649,14173,425,3.03,3.25,9.98,53.09,3.64,65.49,7.81,38.43,6.06,49.22,5.01,43.96,7.96,6.55,3.21,84.96,82.74,96.94,83,62.3,73.48,134,1.38,1956,10.17,17.64,22.09,28.43,1.21,2.1,2.64,3.39,84.89,1.27,6.46,4.77,2.73,,1.9,82.54,1.26,29.12,,310,94.35,75.01,0.32,24.52,1939,0.87,0.56,179400,234700,331800,152400,551,656,868,317,716,28.5,24.1,14.1,,,11.93,49.81,58.51,72.2,84.98,,,,,,,,,,,,,,,,,,,5529.7,14.68,,,,,,,672.35
RedBluffcity,CA,,,,12363,2.57,0.56,91.22,1.06,8.95,13.44,26.6,12.16,14.06,,,19474,64.92,0.66,28.95,29.57,20.02,15.89,22114,9997,10369,3440,8018,7699,5381,6391,2436,20.41,8.65,21.66,10.49,9.88,48.71,21.15,20.09,20.23,17.96,12.78,25.98,19.16,16.23,3.04,63.66,60.99,63.12,69.92,42.35,53.18,353,3.38,642,16.36,24.77,32.09,46.73,0.85,1.29,1.67,2.43,91.86,2.75,4.93,3.37,2.47,2.51,2.43,50.99,6.61,59.28,,250,95.06,50.21,0.4,33.6,1967,4.53,0.4,49900,59700,74600,24700,224,291,356,132,356,28.4,21.9,13,31,,5.19,62.02,43.85,71.77,90.59,,,,,,,,,,,,,,,,,,7.5,1641.4,,,,,,,,981.2
Plainfieldtown,IN,,,,10433,2.51,0.44,98.73,0.41,0.4,11.98,24.63,11.31,13.56,,,34466,79.59,1.91,45.51,26.84,3.1,18.15,40134,15307,15319,16762,8998,10000,,8881,472,4.59,3.42,15.5,18.85,2.43,67.82,13.53,22.77,12.69,27.15,8.75,20.95,12.55,10.8,2.96,79.63,78.71,91.86,76.74,66.3,75.54,55,0.66,83,26.51,26.51,26.51,26.51,0.21,0.21,0.21,0.21,97.92,0.4,2.37,1.71,2.47,2.65,2.11,71.61,1.01,42.88,,143,96.68,66.78,,27.97,1966,3.7,0.63,54600,69100,90100,35500,266,362,432,166,453,22.6,17.3,11.6,,,0.8,70.71,48.8,70.65,89.48,,,,,,,,,,,,,,,,,,3.9,2705.7,0.11,,,,,,,190.21
Fredericksburgcity,VA,630,29744,,19027,2.55,21.63,76.04,1.08,2.43,20.99,38.98,25.15,12.07,19027,100,26614,78.27,0.48,37.01,28.61,5.7,14.93,33353,13825,15390,9103,10031,6877,6980,9942,2049,12.29,11.51,26.25,26.07,3.32,61.46,7.18,26.58,12.17,28.31,12.35,40.56,13.4,12.93,2.91,62.35,58.27,74.79,65.39,65.1,74.18,790,6.71,550,28.36,33.82,42.73,55.27,0.82,0.98,1.24,1.6,95.38,1.04,4.3,2.47,2.24,2.41,2.13,40.13,2.71,62.83,,613,92.4,37.3,3.43,22.02,1964,8.78,0.42,78000,104900,157500,79500,363,461,523,160,530,27.2,20.6,12.4,13,60,2.89,58.25,40.95,53.34,82.58,,,,,,,,,,,,,,,,,,10.9,1746.9,2.15,,,,,,,446.77
Colleyvillecity,TX,,,,12724,3.11,0.67,96.74,1.71,2.26,15.97,21.16,10.79,4.11,12724,100,77530,92.92,1.9,60.18,9.48,1.53,12.08,80541,31967,31742,42375,34822,46973,2897,10510,159,1.25,2.33,6.98,45.54,3.12,70.71,14.28,18.59,4.67,43.05,4.62,19.78,5.68,5.15,3.27,93.6,90.88,96.75,96.08,53.32,58.75,32,0.38,435,22.76,29.89,33.79,42.53,0.78,1.02,1.16,1.45,95.08,0.52,3.93,3.57,3.11,3.12,2.85,94.82,0.95,7.31,,215,95.01,94.36,0.47,44.65,1982,0.2,,129900,187900,283500,153600,370,496,733,363,647,23.6,22.7,12.2,,,3.42,44.35,41.63,64.23,73.5,,,,,,,,,,,,,,,,,,13.6,937,0.27,,,,,,,31.75
Pittsburgcity,CA,,,,47564,3.04,17.58,58.6,12.18,23.73,13.97,29.12,13.19,7.12,47564,100,38532,82.87,0.61,31.39,20.03,12.03,14.42,41512,13686,15469,10521,10818,13750,9111,10286,5071,10.79,10.56,23.51,14.35,,64.56,14.11,18.47,13.94,20.46,10.58,31.2,14.28,12.46,3.44,71.49,66.23,80.69,76.1,59.39,65.81,1742,5.04,8899,19.11,29.16,41.56,51.55,3.58,5.46,7.77,9.64,71.46,6.29,10.13,7.74,3.02,3.11,2.88,63.21,11.08,43.52,,1066,93.62,61.4,6.85,13.7,1975,3.61,0.57,106700,138900,165800,59100,409,566,675,266,622,27.1,25.9,12.9,130,33,18.71,53.33,44.42,75.07,88.89,,,,,,,,,,,,,,,,,,11.3,4222.7,4.53,,,,,,,868.12
MissionViejocity,CA,,,,72820,2.89,0.93,90.3,6.25,7.71,14.31,24.75,11.58,7.47,72820,100,61058,87.49,0.49,56.07,15.65,1.79,13.66,64690,24160,24844,19738,18175,18151,15757,17938,1420,1.96,1.38,6.33,39.1,2.9,72.49,18.78,22.33,5.18,39.89,,25.83,10.77,8.93,3.2,85.98,85.36,94.05,87.05,55.4,65.83,285,0.63,9128,12.71,18.42,30.12,38.21,1.59,2.31,3.78,4.79,85.41,1.73,4.61,3.75,2.88,2.93,2.69,81.35,2.89,30.22,,1219,95.38,80,0.08,24.77,1978,0.22,0.28,211200,254500,323000,111800,719,916,1001,282,969,30.1,27.2,11.8,,,12.54,41.58,41.92,72.76,83.65,,,,,,,,,,,,,,,,,,18.1,4027.7,0.62,,,,,,,225.56
LongBeachcity,CA,,,,429433,2.7,13.68,58.38,13.57,23.62,13.82,31.13,15.56,9.56,429433,100,31938,77.65,0.52,35.44,21.04,11.35,13.73,36305,15639,20334,10518,12658,9544,6860,7758,69694,16.82,11.53,24.49,23.22,6.54,62.93,20.42,22.77,13.21,28.85,11.64,41.43,15.94,13.78,3.36,64.25,60.26,71.53,67.31,50.26,57.56,20207,7.4,104150,19.87,31.62,45.72,61.08,4.82,7.67,11.09,14.81,67.24,9.81,11.98,7.18,2.61,2.55,2.65,40.03,16.49,74.38,,11413,93.3,40.96,3.39,16.67,1955,4.28,0.73,168700,222900,292600,123900,435,551,694,259,605,30,25.1,11.4,394,66,24.25,40.92,40.38,77.16,84.29,643,147.47,598,137.15,608430,139537.3,946.2,147.5,75.18,82.74,5.29,10.11,1.4,16.64,27,,277,51.8,8287.7,6.3,192,80872872,93,,4.2,185473.8,1631.98
Duluthcity,MN,137,17000,,85493,2.47,0.87,95.89,0.9,0.6,15.93,28.36,16.25,14.85,85493,100,23370,70.64,0.43,45.16,32.25,9.7,18.09,31431,12484,12733,7500,6606,7360,5762,9377,13578,16.57,6.48,18.58,22.51,7.22,55.07,8.4,33.9,11.06,28.55,9.25,35.33,12.13,10.8,2.97,69.42,69.45,76.46,73.91,58.21,69.97,1889,2.84,2063,8.73,11.05,18.95,24.19,0.21,0.27,0.46,0.58,95.27,0.51,3.17,2.09,2.36,2.58,1.94,70.69,1.35,50.05,,1459,95.95,64.45,2.33,36.19,1939,2.79,0.29,34200,46300,65100,30900,203,287,390,187,312,29.4,15.5,12.4,303,,2.41,75.95,54.5,81.66,92.46,125,147.44,121,142.72,45424,53578,363.4,147.4,96.69,97.6,0.8,,,0.8,,,65.4,70,1220.6,5.85,36,8403629,96.8,10,5.6,99121.6,
Shelbycity,NC,,,,14669,2.41,42.5,57.03,0.23,0.47,13.33,24.32,12.14,17.75,,,19829,71.32,0.47,28.63,36.41,12.54,14.19,25315,11889,15950,6541,,13329,5202,6631,2747,19.27,16.77,38.97,15.76,8.57,54.03,35.81,21.38,28.15,22.8,12.19,30.17,15.68,14.2,2.96,48.59,44.02,53.46,47.37,61.56,72.71,1346,9.56,167,13.17,30.54,35.33,40.72,0.15,0.35,0.4,0.46,96.47,0.89,4.41,2.89,2.35,2.33,2.36,52.44,2.52,52.66,,393,93.93,52.75,4.07,37.4,1960,9.54,0.49,37500,52600,77000,39500,159,229,299,140,343,27.9,22.1,13.4,17,,1.14,79.34,53.44,87.8,93.28,,,,,,,,,,,,,,,,,,9.1,1612.7,,,,,,,,1419.06
Coronacity,CA,,,,76095,3.18,2.76,75.88,7.1,30.36,14.89,30.69,14.33,5.3,76095,100,43555,88.08,0.85,33.78,14.43,6.57,11.97,46618,15292,16292,19120,18008,15532,8557,8767,6278,8.31,10.42,23.88,17.96,5.76,68.96,25.74,16.73,16.73,26.65,8.31,29.4,11.54,9.9,3.5,81.42,76.95,90.23,80.51,58.88,65.63,1508,2.97,14211,17.82,29.3,40.61,52.31,3.33,5.47,7.58,9.77,69.13,8.33,10.4,8.44,3.16,3.21,3.08,64.92,11.78,43.8,,2618,90.13,63.94,0.23,18.37,1982,2.36,0.3,147300,186300,235600,88300,501,592,697,196,659,27.7,28.6,11.9,56,,18.68,51.77,32.85,50.62,87.02,,,,,,,,,,,,,,,,,,29.5,2579.1,0.73,,,,,,,519.47
Beverlycity,MA,,5595,,38195,2.58,0.86,97.63,1.02,1.15,12.62,25.9,12.77,13.23,38195,100,39603,77.43,0.59,48.75,28.02,6.8,17.89,48040,18436,18551,14015,24024,12859,6216,12070,2437,6.62,3.83,12.89,27.98,5.42,65.77,18.86,28.02,10.09,32.3,7.54,32.62,10.86,9.33,3.04,75.42,72.49,85.41,81.22,64.45,71.13,411,1.54,1896,7.33,11.87,17.3,24.21,0.36,0.59,0.86,1.2,92.4,0.71,3.17,2.16,2.48,2.79,2.04,66.18,0.9,48.7,,856,94.53,58.91,1.52,31.19,1948,1.13,0.22,152500,177200,221800,69300,376,583,717,341,640,27.6,22,13.1,43,,4.96,75.97,57.57,85.18,90.62,,,,,,,,,,,,,,,,,,16,2388,5.14,,,,,,,87.26
CoralSpringscity,FL,,,,79443,2.94,3.48,93.08,2.12,7.12,16.71,27.43,12.9,6.39,79443,100,43428,87.41,0.34,47.14,16.88,2.15,9.04,49856,18319,18653,11989,26800,16487,10683,13111,4087,5.16,3.42,10.81,31.47,3.85,72.25,9.84,21.44,6.2,32.87,7.37,27.41,11.81,9.68,3.34,81.78,81.54,91.14,83.5,60.56,70.12,806,1.66,9031,14.22,25.17,34.8,42.91,1.62,2.86,3.96,4.88,86.64,1.82,4.02,3.18,2.94,3.16,2.58,67.04,3.69,42.47,,2771,90.7,62.4,0.47,23.78,1982,1.05,0.22,127700,160200,207500,79800,497,576,678,181,661,27.9,26.1,13.8,,,11.37,18.21,33.35,61.84,68.53,153,162.72,123,130.81,73000,77638.1,477.1,162.7,95.04,98.04,1.31,0.65,,1.96,10,,58.8,24.3,3265,0.78,143,16227636,80.39,,6.54,172586.7,294.6
NorthBranfordtown,CT,,53890,,12996,2.9,1.26,97.99,0.51,0.89,12.67,24.15,11.24,9.03,10295,79.22,50798,86.63,1.43,60.43,22.14,3.17,16.58,53253,19408,19332,25248,13765,26565,,16761,266,2.05,3.9,15.75,25.25,2.81,72.71,18.46,26.08,9.44,31.51,5.72,26.05,7.19,6.47,3.22,87.61,86.25,100,87.47,61.09,66.71,43,0.5,392,2.04,2.04,2.04,4.08,0.06,0.06,0.06,0.12,93.66,0.55,4.21,3.48,2.9,2.98,2.33,89.99,0.87,28.24,,129,97.2,87.57,1.55,48.06,1964,0.31,0.48,155600,183900,222300,66700,464,647,830,366,765,28.6,22.3,13.8,,,3.02,78.46,71.27,91.17,94.18,,,,,,,,,,,,,,,,,,25.8,503.3,0.24,,,,,,,53.2
Geneseetownship,MI,49,31800,,24093,2.74,8.16,89.99,0.26,2.08,15.08,27.24,12.83,9.47,20392,84.64,30160,74.51,0.52,33.82,26.39,11.82,24.08,35113,12531,12936,8902,10072,9096,5087,7505,3305,13.77,8.36,27.6,5.6,11.36,52.95,32.47,18.89,25.19,16,10.87,25.79,14.71,12.9,3.11,66.84,65.5,70.32,76.73,55.58,61.72,757,3.74,359,1.67,7.24,13.09,16.99,0.02,0.11,0.2,0.25,96.32,0.32,4.38,3.42,2.74,2.75,2.66,84.75,2.51,41.45,,438,95.25,84.31,6.16,53.42,1962,4.14,0.09,35400,48300,63300,27900,255,299,347,92,395,35.1,15.7,14.2,,,1.49,81.92,64.11,93.41,97.68,,,,,,,,,,,,,,,,,,30.5,791.2,0.51,,,,,,,
SanBrunocity,CA,,,,38961,2.66,4.08,71.62,17.93,18.61,11.64,27.46,12.38,9.68,38961,100,42019,83.76,0.65,49.2,19.09,4.56,15.36,48112,18289,19667,12957,14707,15914,12257,13548,1802,4.77,5.65,15.96,21.32,4.12,67.83,9.14,18.48,10.85,26.21,10.12,35.33,13.22,11.65,3.18,77.36,74.56,90.43,79.4,71.93,73.77,528,2.08,9386,12.97,19.37,29.8,38.61,3.12,4.67,7.18,9.3,69.5,4.76,6.14,4.07,2.58,2.66,2.45,64.39,8.8,55.87,,538,96.46,62.5,1.86,19.14,1960,0.85,0.4,249300,294600,357100,107800,595,709,877,282,763,27.6,25.8,11.5,,,24.09,53.33,53.45,76.69,91,,,,,,,,,,,,,,,,,,6.7,5846.5,6.3,,,,,,,282.16
Valdostacity,GA,,,,39806,2.81,43.48,55.19,0.87,1.13,19.21,33.9,19.65,9.72,,,21864,78.28,0.71,27.93,24.35,12.64,13.13,27231,11329,15675,5735,7818,18356,4444,11580,8947,23.83,11.35,30.5,21.1,7.67,59.19,16.99,27.65,18.09,26.04,10.79,36.48,14.77,12.97,3.22,59.97,52.34,60.57,59.89,62.31,68.02,2641,8.59,720,25.28,31.53,36.67,37.64,0.46,0.57,0.66,0.68,96.02,0.5,6.44,4.44,2.65,2.72,2.59,51.28,5.61,44.1,,1465,90.61,50.1,2.32,43.96,1968,10.61,0.79,37600,59600,85700,48100,161,264,338,177,359,26.5,19.9,13.2,,,1.81,67.26,42.6,71.56,84.71,,,,,,,,,,,,,,,,,,27.4,1451.1,0.04,,,,,,,958.15
